tarih,yil,ay,ilce,tuketim,ortalama_sicaklik,ortalama_nem
2015-01,2015,1,ADALAR,370333.756,6.786666666666667,76.958
2015-02,2015,2,ADALAR,334257.446,6.982500000000001,82.1917857142857
2015-03,2015,3,ADALAR,353314.028,8.2225,79.63714285714286
2015-04,2015,4,ADALAR,286268.529,12.74384615384615,65.70884615384615
2015-05,2015,5,ADALAR,128612.845,18.71903225806452,70.36419354838709
2015-06,2015,6,ADALAR,132890.116,21.09066666666667,75.74733333333333
2015-07,2015,7,ADALAR,140175.257,24.55142857142857,71.18749999999999
2015-08,2015,8,ADALAR,141850.211,25.65285714285714,71.54928571428572
2015-09,2015,9,ADALAR,121669.701,23.01833333333333,77.19066666666666
2015-10,2015,10,ADALAR,204708.722,16.28548387096774,82.49774193548384
2015-11,2015,11,ADALAR,259002.768,14.00533333333334,77.87866666666666
2015-12,2015,12,ADALAR,477230.174,7.71516129032258,81.3674193548387
2016-01,2016,1,ADALAR,805857.928,6.197741935483872,78.43064516129033
2016-02,2016,2,ADALAR,576996.975,11.01551724137931,76.18344827586208
2016-03,2016,3,ADALAR,621461.701,11.28548387096774,71.54806451612903
2016-04,2016,4,ADALAR,287910.089,16.966,59.40666666666668
2016-05,2016,5,ADALAR,241786.626,18.64870967741936,68.51129032258065
2016-06,2016,6,ADALAR,185729.759,23.70533333333333,67.00066666666666
2016-07,2016,7,ADALAR,185850.381,25.25967741935484,68.12096774193549
2016-08,2016,8,ADALAR,201465.636,25.54258064516129,74.07129032258067
2016-09,2016,9,ADALAR,253205.307,21.45,69.074
2016-10,2016,10,ADALAR,513851.252,15.92677419354839,91.34193548387097
2016-11,2016,11,ADALAR,678463.524,12.05166666666667,73.55933333333334
2016-12,2016,12,ADALAR,1066322.329,4.892580645161291,77.5722580645161
2017-01,2017,1,ADALAR,1113949.582,3.509032258064516,83.33580645161292
2017-02,2017,2,ADALAR,864688.766,7.834999999999998,74.46821428571427
2017-03,2017,3,ADALAR,800142.804,9.70838709677419,76.90064516129033
2017-04,2017,4,ADALAR,577863.734,12.94666666666667,67.18299999999999
2017-05,2017,5,ADALAR,292876.441,17.95064516129032,74.11
2017-06,2017,6,ADALAR,206099.726,23.84966666666667,70.71633333333332
2017-07,2017,7,ADALAR,221998.825,24.40935483870968,68.10870967741936
2017-08,2017,8,ADALAR,221723.929,24.18580645161291,74.0583870967742
2017-09,2017,9,ADALAR,290574.004,22.02855555555556,71.20799999999998
2017-10,2017,10,ADALAR,508554.177,15.13064516129032,73.77419354838712
2017-11,2017,11,ADALAR,714772.113,12.107,78.23266666666669
2017-12,2017,12,ADALAR,846583.178,10.66870967741935,71.81806451612904
2018-01,2018,1,ADALAR,981215.608,7.359032258064518,77.66612903225808
2018-02,2018,2,ADALAR,862570.433,7.766785714285715,81.79678571428573
2018-03,2018,3,ADALAR,760362.378,11.05451612903226,75.08387
2018-04,2018,4,ADALAR,456645.894,14.56633333333333,68.99233333333333
2018-05,2018,5,ADALAR,286405.667,18.65,76.12322580645161
2018-06,2018,6,ADALAR,211766.01,22.926,70.84999999999998
2018-07,2018,7,ADALAR,248798.771,25.3383870967742,68.6541935483871
